DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-FEB-2026,FUTIDX,BANKEX,26-FEB-2026,68146.65
10-FEB-2026,FUTIDX,BANKEX,25-MAR-2026,68424.45
10-FEB-2026,FUTIDX,BANKEX,30-APR-2026,68796.65
10-FEB-2026,FUTIDX,BANKNIFTY,24-FEB-2026,60704.00
10-FEB-2026,FUTIDX,BANKNIFTY,30-MAR-2026,61044.20
10-FEB-2026,FUTIDX,BANKNIFTY,28-APR-2026,61400.60
10-FEB-2026,FUTIDX,FINNIFTY,24-FEB-2026,28210.20
10-FEB-2026,FUTIDX,FINNIFTY,30-MAR-2026,27921.80
10-FEB-2026,FUTIDX,FINNIFTY,28-APR-2026,28515.20
10-FEB-2026,FUTIDX,MIDCPNIFTY,24-FEB-2026,13944.60
10-FEB-2026,FUTIDX,MIDCPNIFTY,30-MAR-2026,14008.90
10-FEB-2026,FUTIDX,MIDCPNIFTY,28-APR-2026,14077.65
10-FEB-2026,FUTIDX,NIFTY,24-FEB-2026,25985.60
10-FEB-2026,FUTIDX,NIFTY,30-MAR-2026,26138.70
10-FEB-2026,FUTIDX,NIFTY,28-APR-2026,26295.30
10-FEB-2026,FUTIDX,NIFTYNXT50,24-FEB-2026,69872.20
10-FEB-2026,FUTIDX,NIFTYNXT50,30-MAR-2026,70154.00
10-FEB-2026,FUTIDX,NIFTYNXT50,28-APR-2026,70644.60
10-FEB-2026,FUTIDX,SENSEX,26-FEB-2026,84513.60
10-FEB-2026,FUTIDX,SENSEX,25-MAR-2026,84956.10
10-FEB-2026,FUTIDX,SENSEX,30-APR-2026,85283.10
10-FEB-2026,FUTIDX,SENSEX50,26-FEB-2026,27152.50
10-FEB-2026,FUTIDX,SENSEX50,25-MAR-2026,27263.15
10-FEB-2026,FUTIDX,SENSEX50,30-APR-2026,27411.45
10-FEB-2026,FUTIDX,SX40,24-FEB-2026,48690.60
10-FEB-2026,FUTIDX,SX40,30-MAR-2026,48940.65
10-FEB-2026,FUTIDX,SX40,28-APR-2026,49155.00
10-FEB-2026,FUTIDX,SX40,30-JUN-2026,49623.85
10-FEB-2026,FUTIDX,SX40,29-SEP-2026,50309.00
10-FEB-2026,FUTSTK,011NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,021NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,031NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,041NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,051NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,061NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,071NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,081NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,091NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,101NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,111NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,121NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,131NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,141NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,151NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,161NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,171NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,181NSETEST,27-NOV-2036,381.20
10-FEB-2026,FUTSTK,360ONE,24-FEB-2026,1164.00
10-FEB-2026,FUTSTK,360ONE,26-FEB-2026,1165.20
10-FEB-2026,FUTSTK,360ONE,25-MAR-2026,1169.95
10-FEB-2026,FUTSTK,360ONE,30-MAR-2026,1161.20
10-FEB-2026,FUTSTK,360ONE,28-APR-2026,1176.00
10-FEB-2026,FUTSTK,360ONE,30-APR-2026,1176.30
10-FEB-2026,FUTSTK,ABB,24-FEB-2026,5881.00
10-FEB-2026,FUTSTK,ABB,26-FEB-2026,5884.15
10-FEB-2026,FUTSTK,ABB,25-MAR-2026,5908.15
10-FEB-2026,FUTSTK,ABB,30-MAR-2026,5872.50
10-FEB-2026,FUTSTK,ABB,28-APR-2026,5877.00
10-FEB-2026,FUTSTK,ABB,30-APR-2026,5940.30
10-FEB-2026,FUTSTK,ABCAPITAL,24-FEB-2026,354.90
10-FEB-2026,FUTSTK,ABCAPITAL,26-FEB-2026,354.60
10-FEB-2026,FUTSTK,ABCAPITAL,25-MAR-2026,356.05
10-FEB-2026,FUTSTK,ABCAPITAL,30-MAR-2026,355.55
10-FEB-2026,FUTSTK,ABCAPITAL,28-APR-2026,357.90
10-FEB-2026,FUTSTK,ABCAPITAL,30-APR-2026,358.00
10-FEB-2026,FUTSTK,ADANIENSOL,24-FEB-2026,1019.55
10-FEB-2026,FUTSTK,ADANIENSOL,26-FEB-2026,1019.15
10-FEB-2026,FUTSTK,ADANIENSOL,25-MAR-2026,1023.30
10-FEB-2026,FUTSTK,ADANIENSOL,30-MAR-2026,1024.55
10-FEB-2026,FUTSTK,ADANIENSOL,28-APR-2026,1028.55
10-FEB-2026,FUTSTK,ADANIENSOL,30-APR-2026,1028.90
10-FEB-2026,FUTSTK,ADANIENT,24-FEB-2026,2229.80
