Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 11-Feb-2026,Total applicable ELM%
1,360ONE,OTH,3.5,0,3.5
2,360ONE,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABCAPITAL,OTH,3.5,15,18.5
6,ABCAPITAL,OTM,5.25,15,20.25
7,ADANIENSOL,OTH,3.5,0,3.5
8,ADANIENSOL,OTM,5.25,0,5.25
9,ADANIENT,OTH,3.5,0,3.5
10,ADANIENT,OTM,5.25,0,5.25
11,ADANIGREEN,OTH,3.5,0,3.5
12,ADANIGREEN,OTM,5.25,0,5.25
13,ADANIPORTS,OTH,3.5,0,3.5
14,ADANIPORTS,OTM,5.25,0,5.25
15,ALKEM,OTH,3.5,0,3.5
16,ALKEM,OTM,5.25,0,5.25
17,AMBER,OTH,3.5,0,3.5
18,AMBER,OTM,5.25,0,5.25
19,AMBUJACEM,OTH,3.5,0,3.5
20,AMBUJACEM,OTM,5.25,0,5.25
21,ANGELONE,OTH,3.5,0,3.5
22,ANGELONE,OTM,5.25,0,5.25
23,APLAPOLLO,OTH,3.5,0,3.5
24,APLAPOLLO,OTM,5.25,0,5.25
25,APOLLOHOSP,OTH,3.5,0,3.5
26,APOLLOHOSP,OTM,5.25,0,5.25
27,ASHOKLEY,OTH,3.5,0,3.5
28,ASHOKLEY,OTM,5.25,0,5.25
29,ASIANPAINT,OTH,3.5,0,3.5
30,ASIANPAINT,OTM,5.25,0,5.25
31,ASTRAL,OTH,3.5,0,3.5
32,ASTRAL,OTM,5.25,0,5.25
33,AUBANK,OTH,3.5,0,3.5
34,AUBANK,OTM,5.25,0,5.25
35,AUROPHARMA,OTH,3.5,15,18.5
36,AUROPHARMA,OTM,5.25,15,20.25
37,AXISBANK,OTH,3.5,0,3.5
38,AXISBANK,OTM,5.25,0,5.25
39,BAJAJ-AUTO,OTH,3.5,0,3.5
40,BAJAJ-AUTO,OTM,5.25,0,5.25
41,BAJAJFINSV,OTH,3.5,0,3.5
42,BAJAJFINSV,OTM,5.25,0,5.25
43,BAJAJHLDNG,OTH,3.5,0,3.5
44,BAJAJHLDNG,OTM,5.25,0,5.25
45,BAJFINANCE,OTH,3.5,0,3.5
46,BAJFINANCE,OTM,5.25,0,5.25
47,BANDHANBNK,OTH,3.5,15,18.5
48,BANDHANBNK,OTM,5.25,15,20.25
49,BANKBARODA,OTH,3.5,0,3.5
50,BANKBARODA,OTM,5.25,0,5.25
51,BANKINDIA,OTH,3.5,0,3.5
52,BANKINDIA,OTM,5.25,0,5.25
53,BDL,OTH,3.5,0,3.5
54,BDL,OTM,5.25,0,5.25
55,BEL,OTH,3.5,0,3.5
56,BEL,OTM,5.25,0,5.25
57,BHARATFORG,OTH,3.5,0,3.5
58,BHARATFORG,OTM,5.25,0,5.25
59,BHARTIARTL,OTH,3.5,0,3.5
60,BHARTIARTL,OTM,5.25,0,5.25
61,BHEL,OTH,3.5,0,3.5
62,BHEL,OTM,5.25,0,5.25
63,BIOCON,OTH,3.5,0,3.5
64,BIOCON,OTM,5.25,0,5.25
65,BLUESTARCO,OTH,3.5,0,3.5
66,BLUESTARCO,OTM,5.25,0,5.25
67,BOSCHLTD,OTH,3.5,0,3.5
68,BOSCHLTD,OTM,5.25,0,5.25
69,BPCL,OTH,3.5,0,3.5
70,BPCL,OTM,5.25,0,5.25
71,BRITANNIA,OTH,3.5,0,3.5
72,BRITANNIA,OTM,5.25,0,5.25
73,BSE,OTH,3.5,0,3.5
74,BSE,OTM,5.25,0,5.25
75,CAMS,OTH,3.5,0,3.5
76,CAMS,OTM,5.25,0,5.25
77,CANBK,OTH,3.5,0,3.5
78,CANBK,OTM,5.25,0,5.25
79,CDSL,OTH,3.5,0,3.5
80,CDSL,OTM,5.25,0,5.25
81,CGPOWER,OTH,3.5,0,3.5
82,CGPOWER,OTM,5.25,0,5.25
83,CHOLAFIN,OTH,3.5,0,3.5
84,CHOLAFIN,OTM,5.25,0,5.25
85,CIPLA,OTH,3.5,0,3.5
86,CIPLA,OTM,5.25,0,5.25
87,COALINDIA,OTH,3.5,0,3.5
88,COALINDIA,OTM,5.25,0,5.25
89,COFORGE,OTH,3.5,0,3.5
90,COFORGE,OTM,5.25,0,5.25
91,COLPAL,OTH,3.5,0,3.5
92,COLPAL,OTM,5.25,0,5.25
93,CONCOR,OTH,3.5,0,3.5
94,CONCOR,OTM,5.25,0,5.25
95,CROMPTON,OTH,3.5,15,18.5
96,CROMPTON,OTM,5.25,15,20.25
